timestamp,date,time,session_id,question_number,language_detected,question,answer,sources,response_time_seconds,answer_length_words,topic_category,had_summary_card
2026-05-20T08:59:32.353158,2026-05-20,08:59:32,f06b960a,1,english,hello,"# Habari! 👋  Welcome! I'm here to help you with your business in Kenya.  Whether you're just starting out or looking to grow, I can guide you on:  ✅ **Getting your business registered** - Business Registration Service (BRS), licenses, permits   ✅ **Understanding taxes** - VAT, income tax, PAYE, eTIMS, KRA requirements   ✅ **Finding money** - Hustler Fund, Women/Youth Enterprise Funds, SACCOs, banks, chamas   ✅ **Staying compliant** - What the law requires from your business   ✅ **Growing your bu",none,5.89,142,General Advisory,no
2026-05-20T09:00:17.207342,2026-05-20,09:00:17,f06b960a,2,english,how do I register a business in Kenya,"# How to Register a Business in Kenya  Great question! Here's the practical step-by-step process:  ---  ## **1. Choose Your Business Structure**  First, decide what type of business you're starting: - **Sole Proprietorship** (you alone) - **Partnership** (2+ people) - **Limited Company** (formal corporation)  ---  ## **2. Register Your Business Name**  **Who needs to register:** - Any business using a name that isn't just your surname - Partnerships - Companies - Anyone who changed their name  *",business_registration_act_cap499.pdf | doing_business_kenya_sme_guide_2024.pdf | brs_registration_business_names_act.pdf | sha_about_shif.txt,4.93,265,Business Registration,no
2026-05-20T09:12:50.154502,2026-05-20,09:12:50,ceb1bc00,1,english,1.	How do I register a sole proprietorship in Kenya and how much does it cost?,# How to Register a Sole Proprietorship in Kenya  Great question! Here's what you need to know:  ## What is a Sole Proprietorship? A sole proprietorship is the simplest business structure in Kenya. You and your business are legally one entity. Most Kenyan MSMEs start this way — it's flexible and affordable.  ## Registration Steps  ### 1. **Register with the Business Registration Service (BRS)** - Visit the **eCitizen portal** (www.ecitizen.go.ke) or go in person to a **BRS office** - Fill out th,fsd_kenya_msme_outlook_transforming_2024.pdf | fsd_kenya_msme_outlook_report_2024.pdf,7.58,368,Business Registration,no
2026-05-20T09:13:06.459173,2026-05-20,09:13:06,ceb1bc00,2,english,2.	What is the difference between a sole proprietorship and a limited liability company in Kenya?,# Sole Proprietorship vs Limited Liability Company in Kenya  Great question! Here are the key differences to help you choose:  ## 1. **Legal Structure & Liability**  | Feature | Sole Proprietorship | Limited Liability Company (LLC) | |---------|-------------------|-------------------------------| | **You & Business** | You ARE the business (one entity) | Business is SEPARATE from you | | **Personal Liability** | **You're personally responsible** for all debts | **Your personal assets are protect,fsd_kenya_msme_outlook_report_2024.pdf | fsd_kenya_msme_outlook_transforming_2024.pdf,12.29,688,General Advisory,no
2026-05-20T09:13:28.381684,2026-05-20,09:13:28,ceb1bc00,3,english,3.	How do I register a partnership business in Kenya through BRS?,# How to Register a Partnership Business in Kenya through BRS  Excellent question! Here's a complete guide to registering a **General Partnership** with the Business Registration Service (BRS).  ---  ## What is a Partnership in Kenya?  A **General Partnership** is when **2 or more people** come together to run a business. Each partner: - Shares profits and losses - Can act on behalf of the partnership - Is **personally liable** for partnership debts (unlimited liability) - Must contribute capita,doing_business_kenya_sme_guide_2024.pdf | business_registration_act_cap499.pdf | brs_registration_business_names_act.pdf,13.16,684,Business Registration,no
2026-05-20T09:13:42.799546,2026-05-20,09:13:42,ceb1bc00,4,english,4.	What documents do I need to register a business name in Kenya on eCitizen?,# Documents Needed to Register a Business Name in Kenya on eCitizen  Great question! Here's what you need to have ready before you start the registration process.  ---  ## Quick Answer: What is a Business Name?  A **Business Name** is the simplest business structure in Kenya. It costs only **KES 950** and is perfect for: - Sole proprietors (one person) - Small traders - Informal businesses wanting to formalize - People testing a business idea  It's **NOT a legal entity** — you and your business,kenya_business_guide.txt | brs_faqs_complete_guide.pdf | doing_business_kenya_sme_guide_2024.pdf | business_registration_act_cap499.pdf,12.06,680,Business Registration,no
2026-05-20T09:13:59.301179,2026-05-20,09:13:59,ceb1bc00,5,english,5.	How do I convert my sole proprietorship to a limited company in Kenya?,"# How to Convert Your Sole Proprietorship to a Limited Company in Kenya  Excellent question! This is a common step as MSMEs grow. Here's your complete guide.  ---  ## Why Convert to a Limited Company?  Before we dive in, here's why you might want to convert:  | Benefit | Why It Matters | |---------|----------------| | **Personal Asset Protection** | Your house, car, savings are protected from business debts | | **Easier to Get Loans** | Banks prefer lending to companies (49–52% of medium enterpr",fsd_kenya_msme_outlook_report_2024.pdf | fsd_kenya_msme_outlook_transforming_2024.pdf,14.0,669,General Advisory,no
2026-05-20T09:14:20.249710,2026-05-20,09:14:20,ceb1bc00,6,english,6.	What is Turnover Tax in Kenya and who qualifies to pay it?,"# What is Turnover Tax (TOT) in Kenya and Who Qualifies?  Excellent question! This is a **key tax for growing MSMEs**. Let me break it down clearly.  ---  ## What is Turnover Tax (TOT)?  **Turnover Tax** is a simplified tax on **business gross sales** (not profits). It's designed to make **tax easier for small and medium businesses** that don't want to keep complex records.  **Simple definition:** Instead of calculating profits and deducting expenses, you just pay **1.5% on all your sales** — th",doing_business_kenya_sme_guide_2024.pdf | kra_turnover_tax.txt | kra_business_types_of_taxes.txt,11.88,646,Taxation,no
2026-05-20T09:14:35.139161,2026-05-20,09:14:35,ceb1bc00,7,english,7.	When is a business required to register for VAT in Kenya?,"# When is a Business Required to Register for VAT in Kenya?  Great question! VAT registration is a **key compliance requirement**. Let me explain when you MUST register and when it's optional.  ---  ## VAT Registration Threshold  ### **Mandatory Registration Requirement**  You **MUST register for VAT** when your **gross turnover exceeds KES 5,000,000 (5 million) in a 12-month period**.  | Threshold | Status | |-----------|--------| | **Below KES 5 million** per year | Registration is **OPTIONAL*",kra_vat.txt,10.97,670,Business Registration,no
2026-05-20T09:15:06.867783,2026-05-20,09:15:06,ceb1bc00,8,english,8.	How does a small business pay PAYE to KRA for its employees?,# How Does a Small Business Pay PAYE to KRA for Its Employees?  Great question! PAYE (Pay As You Earn) is a **legal requirement** once you have employees. Here's your complete guide.  ---  ## What is PAYE?  **PAYE** is a system where you (the employer) **deduct income tax from your employees' salaries and send it to KRA**.  **Simple explanation:**  - Employee earns salary - You deduct tax from their pay - You send that tax to KRA - Employee gets reduced salary (after tax)  **It's your legal resp,kra_paye.txt | doing_business_kenya_sme_guide_2024.pdf,11.06,623,Taxation,no
2026-05-20T09:15:18.424176,2026-05-20,09:15:18,ceb1bc00,9,english,9.	What are the penalties for late filing of tax returns in Kenya?,# What Are the Penalties for Late Filing of Tax Returns in Kenya?  Excellent question! Understanding penalties is crucial — they can be substantial. Here's a complete breakdown based on KRA rules.  ---  ## General Late Filing Penalties  ### **Key Rule** **Filing deadlines are strict.** Missing them results in automatic penalties — KRA doesn't give warnings.  **Most common deadline:** The **9th of the following month** for most tax types.  ---  ## Penalties by Tax Type  ### **1. PAYE (Pay As You,kra_offences_penalties.txt | kra_paye.txt | tax_procedures_act_cap469b.pdf,9.82,620,Taxation,no
2026-05-20T09:15:33.294987,2026-05-20,09:15:33,ceb1bc00,10,english,10.	What is eTIMS and why does my business need it?,"# What is eTIMS and Why Does My Business Need It?  Excellent question! **eTIMS is now mandatory for most businesses in Kenya**. Let me explain what it is and why you need it.  ---  ## What is eTIMS?  **eTIMS** stands for **electronic Tax Invoice Management System**.  **Simple definition:** It's a **software system that helps you create and manage electronic invoices** that automatically report your sales to KRA (Kenya Revenue Authority).  **Key point:** Instead of writing manual invoices, eTIMS",kra_etims_what_is.txt | kra_etims_how_to_onboard.txt | kra_etims_install.txt,13.28,651,Taxation,no
2026-05-20T09:15:48.296774,2026-05-20,09:15:48,ceb1bc00,11,english,11.	How do I apply for the Hustler Fund and what are the eligibility requirements?,"# How Do I Apply for the Hustler Fund and What Are the Eligibility Requirements?  Great question! The **Hustler Fund is one of the easiest ways for Kenyans to access affordable credit**. Here's your complete guide.  ---  ## What is the Hustler Fund?  **The Hustler Fund** is a **government digital lending program** designed to: - Provide **affordable credit** to individuals and MSMEs - Make loans accessible through **mobile money** (M-Pesa, Airtel Money, T-Kash) - Help with personal expenses, bus",hustler_fund_personal_loan.pdf | hustler_fund_faq.pdf | cbk_finaccess_mse_tracker_2023.pdf,13.19,612,Financing,no
2026-05-20T09:16:01.905796,2026-05-20,09:16:01,ceb1bc00,12,english,12.	What loans does the Youth Enterprise Development Fund offer and who qualifies?,# What Loans Does the Youth Enterprise Development Fund (YEDF) Offer and Who Qualifies?  Excellent question! The **Youth Enterprise Development Fund (YEDF) is a major government financing source for young entrepreneurs**. Let me break down what they offer.  ---  ## What is YEDF?  **YEDF** is a **state corporation established in 2006** to help Kenyan youth create employment through enterprise development.  **Mission:** To increase economic opportunities and youth participation in nation-building,yedf_strategic_plan_2020_2024.pdf | yedf_about.txt,12.07,710,Financing,no
